tanggal_transaksi,produk,kategori,jumlah_terjual,harga_satuan,total_penjualan
2025-02-11,Tablet,Tablet,3,4922072,14766216
2025-02-12,TV,TV,1,9068016,9068016
2025-02-08,Smartphone,Smartphone,4,4611868,18447472
2025-02-09,Smartphone,Smartphone,1,8942573,8942573
2025-02-11,Tablet,Tablet,3,2154927,6464781
2025-02-05,Tablet,Tablet,1,7130809,7130809
2025-02-15,Kamera,Kamera,2,1316949,2633898
2025-01-31,Tablet,Tablet,1,4542452,4542452
2025-02-16,Headphone,Aksesoris,4,2945817,11783268
2025-02-01,Kamera,Kamera,3,7126261,21378783
2025-02-12,TV,TV,4,7439250,29757000
2025-02-07,Tablet,Tablet,1,3352396,3352396
2025-02-13,TV,TV,3,2218747,6656241
2025-02-28,Tablet,Tablet,3,3784300,11352900
2025-02-06,Smartphone,Smartphone,1,5608236,5608236
2025-02-25,TV,TV,2,1979032,3958064
2025-02-18,Kamera,Kamera,4,9436391,37745564
2025-02-20,TV,TV,1,6210247,6210247
2025-02-05,Kamera,Kamera,1,2196381,2196381
2025-02-18,Kamera,Kamera,1,8140524,8140524
2025-02-20,Tablet,Tablet,2,8041618,16083236
2025-02-11,Kamera,Kamera,3,4768838,14306514
2025-02-28,Laptop,Laptop,4,9062267,36249068
2025-02-10,Smartphone,Smartphone,2,2131045,4262090
2025-02-28,Kamera,Kamera,1,9751233,9751233
2025-03-01,Headphone,Aksesoris,1,2282456,2282456
2025-02-14,Smartphone,Smartphone,4,638825,2555300
2025-02-18,Tablet,Tablet,1,9479033,9479033
2025-02-04,Headphone,Aksesoris,2,4352331,8704662
2025-02-23,Kamera,Kamera,3,4737650,14212950
2025-02-23,Laptop,Laptop,1,1473951,1473951
2025-02-09,Laptop,Laptop,1,8011892,8011892
2025-02-17,Smartphone,Smartphone,4,4728160,18912640
2025-02-23,Headphone,Aksesoris,3,2418102,7254306
2025-01-31,Kamera,Kamera,4,4292692,17170768
2025-02-22,Kamera,Kamera,3,1704294,5112882
2025-02-13,Smartphone,Smartphone,4,7924230,31696920
2025-02-09,Kamera,Kamera,4,2916367,11665468
2025-02-09,Laptop,Laptop,4,7054800,28219200
2025-02-07,Kamera,Kamera,3,8970845,26912535
2025-03-01,Laptop,Laptop,4,4041446,16165784
2025-02-22,Smartphone,Smartphone,3,6745133,20235399
2025-02-25,Headphone,Aksesoris,4,5270980,21083920
2025-02-01,TV,TV,4,854780,3419120
2025-01-31,Laptop,Laptop,2,2735743,5471486
2025-02-28,Headphone,Aksesoris,4,4336809,17347236
2025-02-17,Kamera,Kamera,3,4487821,13463463
2025-02-08,Kamera,Kamera,1,2288662,2288662
2025-02-24,Headphone,Aksesoris,4,5919370,23677480
2025-02-13,Headphone,Aksesoris,3,1565065,4695195
2025-02-19,Smartphone,Smartphone,1,4699582,4699582
2025-02-15,Laptop,Laptop,1,3218835,3218835
2025-02-10,Headphone,Aksesoris,1,2226676,2226676
2025-02-25,Headphone,Aksesoris,4,1917145,7668580
2025-02-08,Smartphone,Smartphone,4,1344579,5378316
2025-02-07,Tablet,Tablet,1,4820681,4820681
2025-02-03,Laptop,Laptop,4,7287409,29149636
2025-02-06,Headphone,Aksesoris,2,3920930,7841860
2025-02-21,Kamera,Kamera,3,5341685,16025055
2025-02-17,Smartphone,Smartphone,3,1460605,4381815
2025-02-25,Tablet,Tablet,4,6968205,27872820
2025-02-03,Tablet,Tablet,4,3595854,14383416
2025-02-04,Laptop,Laptop,2,2616379,5232758
2025-02-24,Headphone,Aksesoris,4,645026,2580104
2025-02-17,Laptop,Laptop,4,2304003,9216012
2025-02-11,Tablet,Tablet,2,3357357,6714714
2025-02-12,Kamera,Kamera,4,4347593,17390372
2025-02-26,Headphone,Aksesoris,1,9936025,9936025
2025-02-20,Smartphone,Smartphone,3,593476,1780428
2025-02-16,Tablet,Tablet,3,2669572,8008716
2025-02-13,Smartphone,Smartphone,3,6141234,18423702
2025-02-19,Laptop,Laptop,1,5550593,5550593
2025-02-09,Tablet,Tablet,3,1948870,5846610
2025-02-18,Smartphone,Smartphone,3,9480979,28442937
2025-02-15,Laptop,Laptop,2,5646158,11292316
2025-01-31,TV,TV,1,3751560,3751560
2025-02-04,Laptop,Laptop,1,7608965,7608965
2025-02-25,Laptop,Laptop,1,2394914,2394914
2025-02-15,Tablet,Tablet,1,8816700,8816700
2025-02-02,Kamera,Kamera,3,3313646,9940938
2025-02-23,Kamera,Kamera,2,2295754,4591508
2025-02-07,TV,TV,4,4699194,18796776
2025-02-26,Tablet,Tablet,4,6033928,24135712
2025-02-25,Smartphone,Smartphone,2,4046005,8092010
2025-02-08,TV,TV,1,2904223,2904223
2025-02-22,Smartphone,Smartphone,3,5421308,16263924
2025-02-09,TV,TV,3,9174281,27522843
2025-02-03,Laptop,Laptop,2,5199373,10398746
2025-02-07,Headphone,Aksesoris,3,2487818,7463454
2025-02-23,Tablet,Tablet,2,4450347,8900694
2025-03-01,Tablet,Tablet,3,9894070,29682210
2025-02-04,Kamera,Kamera,2,5294464,10588928
2025-02-27,Tablet,Tablet,3,3780526,11341578
2025-02-05,Smartphone,Smartphone,1,3533188,3533188
2025-02-25,Tablet,Tablet,1,5190263,5190263
2025-02-19,Smartphone,Smartphone,3,5990891,17972673
2025-02-06,Tablet,Tablet,3,6934723,20804169
2025-02-08,TV,TV,1,4116447,4116447
2025-01-31,Laptop,Laptop,2,8956736,17913472
2025-02-02,Laptop,Laptop,3,3407758,10223274
2025-02-10,Tablet,Tablet,1,4098171,4098171
2025-02-23,Smartphone,Smartphone,3,8768774,26306322
2025-02-15,Tablet,Tablet,4,7616928,30467712
2025-02-15,Smartphone,Smartphone,1,2092982,2092982
2025-02-23,Kamera,Kamera,4,2684289,10737156
2025-02-25,Headphone,Aksesoris,2,6426342,12852684
2025-02-07,Tablet,Tablet,1,7030724,7030724
2025-02-19,TV,TV,1,9845938,9845938
2025-02-28,Kamera,Kamera,4,7007291,28029164
2025-02-10,Headphone,Aksesoris,4,6098693,24394772
2025-02-14,Smartphone,Smartphone,3,6309650,18928950
2025-01-31,Tablet,Tablet,4,3187794,12751176
2025-02-24,TV,TV,1,4219982,4219982
2025-02-23,TV,TV,4,8244231,32976924
2025-02-23,Tablet,Tablet,3,6947099,20841297
2025-02-01,Tablet,Tablet,4,6724232,26896928
2025-02-17,Laptop,Laptop,2,8769342,17538684
