tanggal_transaksi,produk,kategori,jumlah_terjual,harga_satuan,total_penjualan
2025-01-16,Tablet,Tablet,4,2956032,11824128
2025-01-22,Smartphone,Smartphone,4,6084859,24339436
2025-01-01,Laptop,Laptop,1,6611561,6611561
2025-01-04,Headphone,Aksesoris,4,7270204,29080816
2025-01-28,Kamera,Kamera,1,9691403,9691403
2025-01-04,Headphone,Aksesoris,1,9337737,9337737
2025-01-08,Smartphone,Smartphone,3,3709146,11127438
2025-01-10,Tablet,Tablet,3,9318560,27955680
2025-01-20,TV,TV,4,1221936,4887744
2025-01-22,Headphone,Aksesoris,2,7387530,14775060
2025-01-19,Headphone,Aksesoris,2,2654660,5309320
2025-01-05,Tablet,Tablet,1,5309310,5309310
2025-01-24,Smartphone,Smartphone,4,2931604,11726416
2025-01-07,Tablet,Tablet,1,9438803,9438803
2025-01-25,Laptop,Laptop,3,3297704,9893112
2025-01-25,Smartphone,Smartphone,4,5883096,23532384
2025-01-13,Headphone,Aksesoris,4,2493821,9975284
2025-01-27,Headphone,Aksesoris,2,1272846,2545692
2025-01-02,TV,TV,4,824695,3298780
2025-01-07,Headphone,Aksesoris,2,737728,1475456
2025-01-08,TV,TV,4,7186867,28747468
2025-01-24,Headphone,Aksesoris,3,948967,2846901
2025-01-15,Laptop,Laptop,1,5532973,5532973
2025-01-25,Headphone,Aksesoris,2,9271153,18542306
2025-01-18,TV,TV,2,1324440,2648880
2025-01-06,TV,TV,4,3351548,13406192
2025-01-26,TV,TV,4,9339449,37357796
2025-01-14,Headphone,Aksesoris,4,2162378,8649512
2025-01-09,TV,TV,2,6475822,12951644
2025-01-10,Kamera,Kamera,2,652022,1304044
2025-01-21,Laptop,Laptop,2,5621308,11242616
2025-01-20,Headphone,Aksesoris,4,2302194,9208776
2025-01-17,TV,TV,4,3275930,13103720
2025-01-20,Laptop,Laptop,3,2384755,7154265
2025-01-06,Headphone,Aksesoris,3,6300583,18901749
2025-01-16,Laptop,Laptop,3,7943973,23831919
2025-01-16,Kamera,Kamera,1,658856,658856
2025-01-01,Headphone,Aksesoris,4,1723887,6895548
2025-01-19,TV,TV,4,4137173,16548692
2025-01-04,Smartphone,Smartphone,2,2966820,5933640
2025-01-25,TV,TV,3,4733639,14200917
2025-01-18,Headphone,Aksesoris,4,1979004,7916016
2025-01-20,TV,TV,2,8033850,16067700
2025-01-30,Smartphone,Smartphone,4,9158353,36633412
2025-01-20,Smartphone,Smartphone,4,6295035,25180140
2025-01-20,Smartphone,Smartphone,2,7064659,14129318
2025-01-15,TV,TV,2,3011634,6023268
2025-01-08,Headphone,Aksesoris,2,7976514,15953028
2025-01-01,TV,TV,1,1859411,1859411
2025-01-02,Smartphone,Smartphone,3,4349886,13049658
2025-01-10,Kamera,Kamera,3,1118411,3355233
2025-01-26,Smartphone,Smartphone,1,4367565,4367565
2025-01-01,Tablet,Tablet,2,6409830,12819660
2025-01-11,Smartphone,Smartphone,2,6475093,12950186
2025-01-21,Tablet,Tablet,1,6561150,6561150
2025-01-24,Headphone,Aksesoris,4,5761371,23045484
2025-01-04,TV,TV,1,4790172,4790172
2025-01-12,Headphone,Aksesoris,1,9630147,9630147
2025-01-19,TV,TV,4,8053969,32215876
2025-01-24,Tablet,Tablet,3,6865385,20596155
2025-01-29,Smartphone,Smartphone,2,2811949,5623898
2025-01-03,Smartphone,Smartphone,3,3955865,11867595
2025-01-01,Smartphone,Smartphone,2,4630630,9261260
2025-01-01,TV,TV,3,6631367,19894101
2025-01-05,Smartphone,Smartphone,1,8865704,8865704
2025-01-22,Headphone,Aksesoris,3,4824365,14473095
2025-01-06,Headphone,Aksesoris,1,2562032,2562032
2025-01-07,Smartphone,Smartphone,2,2088216,4176432
2025-01-09,Kamera,Kamera,2,2530102,5060204
2025-01-21,TV,TV,2,8848152,17696304
2025-01-18,Kamera,Kamera,1,6750319,6750319
2025-01-16,Tablet,Tablet,4,3397881,13591524
2025-01-05,Smartphone,Smartphone,1,5879848,5879848
2025-01-10,Kamera,Kamera,4,4505638,18022552
