tanggal_transaksi,produk,kategori,jumlah_terjual,harga_satuan,total_penjualan
2025-06-06,TV,TV,4,3372890,13491560
2025-06-22,Kamera,Kamera,1,4991906,4991906
2025-06-16,TV,TV,4,3959295,15837180
2025-06-09,Kamera,Kamera,3,7797100,23391300
2025-06-08,TV,TV,3,6249670,18749010
2025-06-04,Laptop,Laptop,2,950225,1900450
2025-06-07,Kamera,Kamera,1,5464623,5464623
2025-06-27,Headphone,Aksesoris,4,635894,2543576
2025-06-16,TV,TV,2,4382544,8765088
2025-06-16,Kamera,Kamera,1,3822770,3822770
2025-06-07,Laptop,Laptop,1,9991003,9991003
2025-06-12,Kamera,Kamera,3,9872021,29616063
2025-06-15,Smartphone,Smartphone,3,3045589,9136767
2025-06-17,Headphone,Aksesoris,2,8642446,17284892
2025-06-21,Kamera,Kamera,2,5916722,11833444
2025-06-07,Laptop,Laptop,3,3725764,11177292
2025-06-16,Headphone,Aksesoris,3,2625891,7877673
2025-06-27,Headphone,Aksesoris,4,9419049,37676196
2025-06-12,Laptop,Laptop,4,4825498,19301992
2025-06-13,TV,TV,2,4783080,9566160
2025-06-11,Smartphone,Smartphone,4,6520586,26082344
2025-06-01,Smartphone,Smartphone,3,8167537,24502611
2025-06-15,Smartphone,Smartphone,1,5022304,5022304
2025-06-20,TV,TV,3,9180345,27541035
2025-06-22,Laptop,Laptop,1,2105820,2105820
2025-06-29,Kamera,Kamera,1,4219881,4219881
2025-06-18,Kamera,Kamera,4,4349065,17396260
2025-06-25,TV,TV,4,8120549,32482196
2025-06-09,Smartphone,Smartphone,4,5570841,22283364
2025-06-10,Headphone,Aksesoris,4,1921187,7684748
2025-06-09,Kamera,Kamera,2,1026686,2053372
2025-06-09,Smartphone,Smartphone,2,6161422,12322844
2025-06-01,Smartphone,Smartphone,4,4198093,16792372
2025-06-18,Tablet,Tablet,2,2677606,5355212
2025-06-07,TV,TV,3,4176141,12528423
2025-06-16,TV,TV,4,7473882,29895528
2025-06-14,TV,TV,2,7920852,15841704
2025-06-05,Kamera,Kamera,1,5725283,5725283
2025-06-26,Smartphone,Smartphone,4,3632903,14531612
2025-05-31,Headphone,Aksesoris,4,9551507,38206028
2025-06-16,Headphone,Aksesoris,2,4557409,9114818
2025-06-04,Laptop,Laptop,2,2566169,5132338
2025-06-14,TV,TV,1,1836597,1836597
2025-06-04,Laptop,Laptop,1,1031080,1031080
2025-06-09,Tablet,Tablet,3,7164953,21494859
2025-06-19,Laptop,Laptop,3,6749933,20249799
2025-06-27,Headphone,Aksesoris,3,9751692,29255076
2025-06-02,TV,TV,2,2561410,5122820
2025-06-04,Smartphone,Smartphone,3,9079860,27239580
2025-06-06,Smartphone,Smartphone,3,9864983,29594949
2025-06-09,Tablet,Tablet,3,1293325,3879975
2025-06-19,Laptop,Laptop,3,7517657,22552971
2025-06-19,Laptop,Laptop,1,4587733,4587733
2025-06-18,Laptop,Laptop,2,2124160,4248320
2025-06-17,Smartphone,Smartphone,2,4208161,8416322
2025-06-21,Smartphone,Smartphone,1,1807098,1807098
2025-06-07,Laptop,Laptop,4,1535342,6141368
2025-06-04,Kamera,Kamera,3,900729,2702187
2025-06-12,Laptop,Laptop,3,9112293,27336879
2025-06-13,TV,TV,3,6206726,18620178
2025-06-11,Kamera,Kamera,3,1162313,3486939
2025-06-11,Headphone,Aksesoris,4,3746031,14984124
2025-06-03,Laptop,Laptop,2,7547206,15094412
2025-06-28,Tablet,Tablet,3,2349295,7047885
2025-06-01,Kamera,Kamera,2,4260721,8521442
2025-06-23,Kamera,Kamera,2,5144508,10289016
2025-06-03,Headphone,Aksesoris,1,2889119,2889119
2025-06-27,Headphone,Aksesoris,3,5530801,16592403
2025-06-14,Tablet,Tablet,3,2684720,8054160
2025-06-27,Laptop,Laptop,1,4932486,4932486
2025-06-29,Headphone,Aksesoris,3,3853588,11560764
2025-06-01,TV,TV,1,2015381,2015381
2025-06-25,Tablet,Tablet,2,8407785,16815570
2025-06-21,Laptop,Laptop,2,2922898,5845796
2025-06-07,Headphone,Aksesoris,1,6397270,6397270
2025-06-16,Kamera,Kamera,2,5757645,11515290
2025-06-14,Laptop,Laptop,2,3571981,7143962
2025-06-26,Smartphone,Smartphone,2,6213654,12427308
2025-06-09,Laptop,Laptop,4,8448378,33793512
2025-06-06,Headphone,Aksesoris,1,6238878,6238878
2025-06-15,TV,TV,3,9846935,29540805
2025-06-16,Smartphone,Smartphone,1,2491627,2491627
2025-06-05,Headphone,Aksesoris,2,771901,1543802
2025-06-02,Tablet,Tablet,2,9141395,18282790
2025-06-13,Headphone,Aksesoris,2,7612426,15224852
2025-06-27,Tablet,Tablet,4,1435262,5741048
2025-06-24,Kamera,Kamera,1,625085,625085
2025-06-13,TV,TV,1,6499663,6499663
2025-06-22,Headphone,Aksesoris,2,6720983,13441966
2025-06-11,Laptop,Laptop,1,8470197,8470197
2025-06-08,Tablet,Tablet,4,5694822,22779288
2025-05-31,Laptop,Laptop,3,4436272,13308816
2025-06-12,Laptop,Laptop,4,606579,2426316
2025-06-12,Tablet,Tablet,3,3687270,11061810
2025-06-05,Laptop,Laptop,2,1858663,3717326
2025-06-14,Laptop,Laptop,4,8587081,34348324
2025-06-15,Smartphone,Smartphone,1,3291229,3291229
2025-06-18,Kamera,Kamera,4,4030346,16121384
2025-05-31,Smartphone,Smartphone,1,1188384,1188384
2025-06-07,Tablet,Tablet,3,4670966,14012898
2025-06-07,Smartphone,Smartphone,4,4023277,16093108
2025-06-22,Tablet,Tablet,4,6290204,25160816
2025-06-27,Tablet,Tablet,1,8649008,8649008
2025-06-16,Headphone,Aksesoris,1,2574369,2574369
2025-05-31,Laptop,Laptop,3,3609729,10829187
2025-06-08,TV,TV,4,8439641,33758564
2025-06-26,Kamera,Kamera,3,1554857,4664571
2025-06-12,TV,TV,4,3019986,12079944
2025-06-05,TV,TV,3,8572222,25716666
2025-06-11,Smartphone,Smartphone,2,7037029,14074058
2025-06-05,TV,TV,1,4790742,4790742
2025-06-09,TV,TV,2,8841514,17683028
2025-06-22,TV,TV,1,9684442,9684442
2025-06-20,Headphone,Aksesoris,2,5891585,11783170
2025-06-05,Tablet,Tablet,3,5530268,16590804
2025-06-18,Headphone,Aksesoris,4,2969034,11876136
2025-06-28,Smartphone,Smartphone,3,5208390,15625170
2025-06-27,TV,TV,2,3946306,7892612
2025-06-29,Kamera,Kamera,2,3754122,7508244
2025-06-24,Tablet,Tablet,2,7262002,14524004
2025-06-24,Laptop,Laptop,1,3508869,3508869
2025-06-01,TV,TV,4,3221151,12884604
2025-06-28,Tablet,Tablet,1,1374552,1374552
2025-06-15,TV,TV,1,605420,605420
2025-06-06,TV,TV,1,1214631,1214631
2025-06-03,Tablet,Tablet,1,6094098,6094098
2025-06-15,Laptop,Laptop,1,4931663,4931663
2025-06-20,Laptop,Laptop,4,8172126,32688504
2025-06-17,Headphone,Aksesoris,1,5030781,5030781
2025-06-08,Kamera,Kamera,3,2587919,7763757
2025-05-31,Headphone,Aksesoris,2,5604152,11208304
2025-06-18,Tablet,Tablet,2,8108256,16216512
2025-06-13,Headphone,Aksesoris,4,634392,2537568
2025-06-28,Kamera,Kamera,3,3886735,11660205
2025-06-27,Smartphone,Smartphone,4,3640614,14562456
2025-06-15,Smartphone,Smartphone,1,2978874,2978874
2025-06-18,Laptop,Laptop,2,2287396,4574792
2025-06-20,Kamera,Kamera,3,8889969,26669907
2025-06-17,Tablet,Tablet,2,772753,1545506
2025-06-22,TV,TV,2,4888063,9776126
2025-06-26,Laptop,Laptop,3,5498975,16496925
