tanggal_transaksi,produk,kategori,jumlah_terjual,harga_satuan,total_penjualan
2025-03-17,TV,TV,1,4262862,4262862
2025-03-15,Tablet,Tablet,4,1015875,4063500
2025-03-10,TV,TV,2,7208174,14416348
2025-03-24,Tablet,Tablet,3,7055855,21167565
2025-03-13,Smartphone,Smartphone,3,8246358,24739074
2025-03-20,Smartphone,Smartphone,2,6440017,12880034
2025-03-13,Headphone,Aksesoris,3,2132225,6396675
2025-03-10,Tablet,Tablet,1,5708162,5708162
2025-03-09,TV,TV,2,886097,1772194
2025-03-04,Laptop,Laptop,4,7201218,28804872
2025-03-19,Tablet,Tablet,2,4531094,9062188
2025-03-13,Headphone,Aksesoris,3,9918593,29755779
2025-03-23,TV,TV,4,6818947,27275788
2025-03-17,Kamera,Kamera,1,1333402,1333402
2025-03-28,TV,TV,2,7598195,15196390
2025-03-22,TV,TV,3,6278413,18835239
2025-03-30,Laptop,Laptop,2,1438748,2877496
2025-03-22,Kamera,Kamera,4,2407138,9628552
2025-03-07,Headphone,Aksesoris,2,680639,1361278
2025-03-09,TV,TV,1,5353283,5353283
2025-03-05,Smartphone,Smartphone,1,7490130,7490130
2025-03-08,Smartphone,Smartphone,3,1408170,4224510
2025-03-06,Headphone,Aksesoris,1,1188427,1188427
2025-03-12,Tablet,Tablet,3,3276739,9830217
2025-03-13,Kamera,Kamera,3,7881546,23644638
2025-03-21,Kamera,Kamera,1,6899069,6899069
2025-03-09,TV,TV,2,6268640,12537280
2025-03-08,Headphone,Aksesoris,3,9653516,28960548
2025-03-12,Laptop,Laptop,4,9548453,38193812
2025-03-03,Laptop,Laptop,2,7869354,15738708
2025-03-28,Laptop,Laptop,2,9565995,19131990
2025-03-30,Headphone,Aksesoris,2,4526718,9053436
2025-03-05,Laptop,Laptop,2,9389681,18779362
2025-03-07,TV,TV,2,1910497,3820994
2025-03-26,Smartphone,Smartphone,1,6329503,6329503
2025-03-06,Laptop,Laptop,2,3432642,6865284
2025-03-16,Smartphone,Smartphone,4,9295022,37180088
2025-03-08,Kamera,Kamera,1,4323086,4323086
2025-03-21,TV,TV,4,6272273,25089092
2025-03-27,Laptop,Laptop,1,9300236,9300236
2025-03-04,TV,TV,3,2289923,6869769
2025-03-18,Smartphone,Smartphone,1,1525750,1525750
2025-03-22,Smartphone,Smartphone,3,8348733,25046199
2025-03-16,Tablet,Tablet,3,7020979,21062937
2025-03-14,TV,TV,1,1279945,1279945
2025-03-20,Headphone,Aksesoris,4,7117408,28469632
2025-03-06,Headphone,Aksesoris,4,9977348,39909392
2025-03-28,Tablet,Tablet,4,8601730,34406920
2025-03-17,Headphone,Aksesoris,4,2258485,9033940
2025-03-19,Laptop,Laptop,1,7663593,7663593
2025-03-09,TV,TV,4,4764872,19059488
2025-03-16,Tablet,Tablet,3,570127,1710381
2025-03-10,Kamera,Kamera,2,2611242,5222484
2025-03-20,TV,TV,2,1186513,2373026
2025-03-15,Laptop,Laptop,4,2417124,9668496
2025-03-28,Smartphone,Smartphone,2,5573638,11147276
2025-03-17,TV,TV,1,1587757,1587757
2025-03-11,Smartphone,Smartphone,4,3147838,12591352
2025-03-15,TV,TV,1,4594418,4594418
2025-03-10,Laptop,Laptop,2,5258746,10517492
2025-03-25,TV,TV,2,3942000,7884000
2025-03-19,Tablet,Tablet,3,3856031,11568093
2025-03-24,TV,TV,1,2000069,2000069
2025-03-26,Smartphone,Smartphone,4,5599078,22396312
2025-03-28,Laptop,Laptop,4,1832765,7331060
2025-03-23,Kamera,Kamera,3,4344280,13032840
2025-03-11,Headphone,Aksesoris,3,5281048,15843144
2025-03-27,Laptop,Laptop,3,1144258,3432774
2025-03-11,Tablet,Tablet,3,5597114,16791342
2025-03-16,Laptop,Laptop,3,6691940,20075820
2025-03-30,Headphone,Aksesoris,2,971475,1942950
2025-03-28,Smartphone,Smartphone,2,4308947,8617894
2025-03-21,Headphone,Aksesoris,3,1283023,3849069
2025-03-02,Smartphone,Smartphone,4,557535,2230140
2025-03-13,Kamera,Kamera,2,2026736,4053472
2025-03-02,TV,TV,3,7860942,23582826
2025-03-28,Laptop,Laptop,1,2918922,2918922
2025-03-20,Tablet,Tablet,4,5541653,22166612
2025-03-10,Smartphone,Smartphone,2,3545942,7091884
2025-03-14,Tablet,Tablet,1,8445936,8445936
2025-03-12,Laptop,Laptop,3,2033488,6100464
2025-03-10,Tablet,Tablet,4,6944339,27777356
2025-03-04,Kamera,Kamera,2,6782375,13564750
2025-03-30,Headphone,Aksesoris,3,5573395,16720185
2025-03-11,Smartphone,Smartphone,3,9936632,29809896
2025-03-24,TV,TV,1,2994711,2994711
2025-03-07,TV,TV,4,8853717,35414868
2025-03-08,Headphone,Aksesoris,2,8798161,17596322
2025-03-24,Kamera,Kamera,3,8221291,24663873
2025-03-08,Smartphone,Smartphone,4,5374384,21497536
2025-03-21,TV,TV,4,2437838,9751352
2025-03-26,Smartphone,Smartphone,3,1654551,4963653
2025-03-20,Smartphone,Smartphone,4,9877851,39511404
2025-03-03,Kamera,Kamera,1,3508308,3508308
2025-03-06,Tablet,Tablet,1,1847074,1847074
2025-03-10,Laptop,Laptop,1,4839493,4839493
2025-03-19,TV,TV,4,7592691,30370764
2025-03-31,TV,TV,1,3575724,3575724
2025-03-08,TV,TV,3,3385087,10155261
2025-03-27,TV,TV,2,9142406,18284812
