tanggal_transaksi,produk,kategori,jumlah_terjual,harga_satuan,total_penjualan
2025-05-24,Kamera,Kamera,2,7688234,15376468
2025-05-06,Headphone,Aksesoris,1,3876063,3876063
2025-05-02,Laptop,Laptop,2,9627964,19255928
2025-05-09,TV,TV,2,4069007,8138014
2025-05-24,Laptop,Laptop,2,6487073,12974146
2025-05-09,Kamera,Kamera,1,6076619,6076619
2025-05-19,TV,TV,4,1196368,4785472
2025-05-10,Tablet,Tablet,2,8766706,17533412
2025-05-27,Smartphone,Smartphone,4,9561737,38246948
2025-05-29,Headphone,Aksesoris,3,7782113,23346339
2025-05-08,Smartphone,Smartphone,2,7924421,15848842
2025-05-14,Tablet,Tablet,3,6454764,19364292
2025-05-24,Smartphone,Smartphone,3,787358,2362074
2025-05-24,TV,TV,3,3557559,10672677
2025-05-26,Kamera,Kamera,2,3796428,7592856
2025-05-09,Kamera,Kamera,4,3524682,14098728
2025-05-05,Smartphone,Smartphone,4,9411403,37645612
2025-05-19,Headphone,Aksesoris,2,6798613,13597226
2025-05-13,Laptop,Laptop,1,4634840,4634840
2025-05-07,Headphone,Aksesoris,2,4131021,8262042
2025-05-11,Smartphone,Smartphone,2,5221350,10442700
2025-05-21,Smartphone,Smartphone,3,626730,1880190
2025-05-04,Laptop,Laptop,1,8133674,8133674
2025-05-01,Kamera,Kamera,1,3404948,3404948
2025-05-24,TV,TV,4,1712066,6848264
2025-05-22,Laptop,Laptop,2,8444506,16889012
2025-05-22,TV,TV,1,723994,723994
2025-05-10,Headphone,Aksesoris,2,3854022,7708044
2025-05-07,Kamera,Kamera,4,4595692,18382768
2025-05-30,Smartphone,Smartphone,1,767778,767778
2025-05-07,TV,TV,3,4068318,12204954
2025-05-25,Headphone,Aksesoris,3,8697666,26092998
2025-05-03,Laptop,Laptop,4,9020497,36081988
2025-05-15,Laptop,Laptop,2,6832208,13664416
2025-05-22,TV,TV,2,6234484,12468968
2025-05-09,Headphone,Aksesoris,1,5835773,5835773
2025-05-18,Headphone,Aksesoris,4,5735751,22943004
2025-05-03,Laptop,Laptop,4,2209977,8839908
2025-05-27,Kamera,Kamera,4,1156735,4626940
2025-05-24,Kamera,Kamera,1,5050995,5050995
2025-05-01,TV,TV,1,3641325,3641325
2025-05-09,TV,TV,4,2672507,10690028
2025-05-20,Smartphone,Smartphone,4,1515777,6063108
2025-05-11,Tablet,Tablet,4,8287661,33150644
2025-05-14,Smartphone,Smartphone,1,9556859,9556859
2025-05-02,Laptop,Laptop,2,8224888,16449776
2025-05-01,Tablet,Tablet,4,8611564,34446256
2025-05-14,Tablet,Tablet,1,691315,691315
2025-05-29,Laptop,Laptop,4,5629366,22517464
2025-05-04,Headphone,Aksesoris,1,3879600,3879600
2025-05-19,Smartphone,Smartphone,4,8782317,35129268
2025-05-20,Headphone,Aksesoris,4,3489603,13958412
2025-05-16,Tablet,Tablet,2,3628893,7257786
2025-05-03,Tablet,Tablet,3,8151513,24454539
2025-05-26,Kamera,Kamera,2,2674443,5348886
2025-05-19,Tablet,Tablet,4,8856467,35425868
2025-05-18,Headphone,Aksesoris,3,2604161,7812483
2025-05-17,TV,TV,2,5199388,10398776
2025-05-18,Smartphone,Smartphone,4,8271604,33086416
2025-05-26,TV,TV,3,9709950,29129850
2025-05-10,Kamera,Kamera,1,5699288,5699288
2025-05-28,Laptop,Laptop,1,8663941,8663941
2025-05-17,Kamera,Kamera,4,3011901,12047604
2025-05-13,Smartphone,Smartphone,2,9617712,19235424
2025-05-24,TV,TV,4,816901,3267604
2025-05-19,Kamera,Kamera,4,5706387,22825548
2025-05-23,Kamera,Kamera,1,6023688,6023688
2025-05-04,TV,TV,1,7127328,7127328
2025-05-12,Kamera,Kamera,2,3359093,6718186
2025-05-24,Smartphone,Smartphone,3,2099723,6299169
2025-05-25,Headphone,Aksesoris,4,824937,3299748
2025-05-19,TV,TV,3,6994822,20984466
2025-05-07,TV,TV,2,1051592,2103184
2025-05-08,TV,TV,4,9695475,38781900
2025-05-14,Laptop,Laptop,4,5122496,20489984
2025-05-11,Tablet,Tablet,4,4438903,17755612
2025-05-08,Laptop,Laptop,2,1747118,3494236
2025-05-10,Kamera,Kamera,3,3853660,11560980
2025-05-19,Smartphone,Smartphone,3,9931338,29794014
2025-05-24,TV,TV,4,8377824,33511296
2025-05-22,Kamera,Kamera,3,4458688,13376064
2025-05-20,Smartphone,Smartphone,3,6323423,18970269
2025-05-17,Headphone,Aksesoris,3,2156539,6469617
2025-05-22,Kamera,Kamera,4,9876365,39505460
2025-05-16,Headphone,Aksesoris,3,1224105,3672315
2025-05-05,Laptop,Laptop,4,2557133,10228532
2025-05-28,Laptop,Laptop,1,1718108,1718108
2025-05-28,Smartphone,Smartphone,4,3077176,12308704
2025-05-12,Laptop,Laptop,2,6245043,12490086
2025-05-20,TV,TV,3,8059506,24178518
2025-05-09,Laptop,Laptop,2,1109485,2218970
2025-05-26,Headphone,Aksesoris,3,9724510,29173530
2025-05-06,TV,TV,3,7726542,23179626
2025-05-09,Headphone,Aksesoris,2,3975042,7950084
2025-05-28,Laptop,Laptop,1,8466820,8466820
2025-05-27,Kamera,Kamera,3,4122665,12367995
2025-05-30,Kamera,Kamera,1,4702730,4702730
2025-05-23,Kamera,Kamera,2,6324823,12649646
2025-05-08,Headphone,Aksesoris,4,6207627,24830508
2025-05-01,Tablet,Tablet,2,1050652,2101304
2025-05-05,Headphone,Aksesoris,1,4955488,4955488
2025-05-23,Laptop,Laptop,2,8345679,16691358
2025-05-12,Tablet,Tablet,2,2948479,5896958
2025-05-09,Tablet,Tablet,3,1272461,3817383
2025-05-05,Headphone,Aksesoris,4,9385049,37540196
2025-05-09,Laptop,Laptop,1,5040115,5040115
2025-05-18,Laptop,Laptop,2,8153586,16307172
2025-05-15,Smartphone,Smartphone,2,1119245,2238490
2025-05-10,Kamera,Kamera,3,8437028,25311084
2025-05-30,Tablet,Tablet,3,8074404,24223212
2025-05-22,Tablet,Tablet,2,8184102,16368204
2025-05-05,TV,TV,2,3951897,7903794
2025-05-19,Kamera,Kamera,1,7285298,7285298
2025-05-28,Kamera,Kamera,2,7074671,14149342
2025-05-04,Headphone,Aksesoris,2,9195101,18390202
2025-05-05,Headphone,Aksesoris,2,2015125,4030250
2025-05-08,Laptop,Laptop,4,2743742,10974968
2025-05-23,TV,TV,2,9614070,19228140
2025-05-07,Kamera,Kamera,1,1164372,1164372
2025-05-09,Smartphone,Smartphone,3,7968686,23906058
2025-05-29,Kamera,Kamera,4,8836263,35345052
2025-05-01,Tablet,Tablet,2,3853916,7707832
2025-05-04,TV,TV,1,520951,520951
2025-05-12,Smartphone,Smartphone,2,5530028,11060056
2025-05-22,Tablet,Tablet,1,3444457,3444457
2025-05-23,Headphone,Aksesoris,2,2949141,5898282
